热搜话题,博文mid,博文内容,点赞数,发布城市,发布时间
#伊朗队被勒令离开美国#,5310483640879414,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&extparam=%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#伊朗队被勒令离开美国#</span></a> <br /><br />老美这事儿办的不地道，战场吃瘪在体育场里搞这个，确实low了，格局就指甲盖那么大。 ",45,北京,Tue Jun 16 17:17:07 +0800 2026
#伊朗队被勒令离开美国#,5310485697922820,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&extparam=%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#伊朗队被勒令离开美国#</span></a> 伊朗国足主教练：球队突然被勒令必须立即离开美国 <a  href=""https://video.weibo.com/show?fid=1034:5310483956432929"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">福建日报的微博视频</span></a> ",0,福州,Tue Jun 16 17:25:17 +0800 2026
#伊朗队被勒令离开美国#,,,0,未知,
#伊朗队被勒令离开美国#,,,0,未知,
#伊朗队被勒令离开美国#,5310485626619530,"【<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BC%8A%E6%9C%97%E9%98%9F%E4%B8%BB%E5%B8%85%E8%AF%B4%E6%81%A2%E5%A4%8D%E4%BD%93%E8%83%BD%E7%9A%84%E6%97%B6%E9%97%B4%E9%83%BD%E4%B8%8D%E7%BB%99%23&extparam=%23%E4%BC%8A%E6%9C%97%E9%98%9F%E4%B8%BB%E5%B8%85%E8%AF%B4%E6%81%A2%E5%A4%8D%E4%BD%93%E8%83%BD%E7%9A%84%E6%97%B6%E9%97%B4%E9%83%BD%E4%B8%8D%E7%BB%99%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#伊朗队主帅说恢复体能的时间都不给#</span></a>】<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BC%8A%E6%9C%97%E9%98%9F%E6%88%90%E4%B8%96%E7%95%8C%E6%9D%AF%E6%9C%80%E8%A2%AB%E6%8A%98%E8%85%BE%E7%90%83%E9%98%9F%23&extparam=%23%E4%BC%8A%E6%9C%97%E9%98%9F%E6%88%90%E4%B8%96%E7%95%8C%E6%9D%AF%E6%9C%80%E8%A2%AB%E6%8A%98%E8%85%BE%E7%90%83%E9%98%9F%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#伊朗队成世界杯最被折腾球队#</span></a>北京时间6月16日，2026美加墨世界杯G组首轮开赛，伊朗队在两度落后的情况下两度扳平，最终以2比2的比分与新西兰队战平，收获本届赛事首个积分。但赛场外的突发状况彻底打乱了球队备战节奏。据美联社、法新社最新消息，球队主帅加莱 ...<a href=""/status/5310485626619530"">全文</a>",0,杭州,Tue Jun 16 17:25:00 +0800 2026
#伊朗队被勒令离开美国#,5310485374436947,"【<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BD%9B%E5%BE%97%E8%A7%92%E5%85%B7%E4%BD%93%E5%9C%A8%E5%93%AA%E9%87%8C%23&extparam=%23%E4%BD%9B%E5%BE%97%E8%A7%92%E5%85%B7%E4%BD%93%E5%9C%A8%E5%93%AA%E9%87%8C%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#佛得角具体在哪里#</span></a>】首次登上世界杯舞台的佛得角，0比0逼平夺冠热门西班牙。一战爆红后，全网都好奇这座大西洋岛国：面积仅有4033平方公里，常住人口54万。队内40岁门将沃西尼亚一战封神，赛后他掩面痛哭，泪水背后藏着难以释怀的遗憾↓<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&extparam=%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#伊朗队被勒令离开美国#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%8A%BC%E6%B3%A8%E8%A5%BF%E7%8F%AD%E7%89%99%E8%8E%B7%E8%83%9C%E8%BE%93%E4%BA%86100%E4%B8%87%E7%BE%8E%E5%85%83%23&extparam=%23%E6%8A%BC%E6%B3%A8%E8%A5%BF%E7%8F%AD%E7%89%99%E8%8E%B7%E8%83%9C%E8%BE%93%E4%BA%86100%E4%B8%87%E7%BE%8E%E5%85%83%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#押注西班牙获胜输了100万美元#</span></a>（央视 ...<a href=""/status/5310485374436947"">全文</a>",2,广州,Tue Jun 16 17:24:00 +0800 2026
#伊朗队被勒令离开美国#,5310485362378294,"剧本我已经写好了，伊朗小组出线，在淘汰赛遇上美国，马宁去当主裁判。<span class=""url-icon""><img alt=""[加油]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6b/201810_jiayou_mobile.png"" style=""width:1em; height:1em;"" /></span><br /><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&extparam=%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#伊朗队被勒令离开美国#</span></a> <a  href=""https://video.weibo.com/show?fid=1034:5310484065222682"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">VV还是那个灯罩的微博视频</span></a> ",1,株洲,Tue Jun 16 17:23:57 +0800 2026
#伊朗队被勒令离开美国#,5310485260143054,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&extparam=%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#伊朗队被勒令离开美国#</span></a>这可以说是整个世界杯上最受委屈、最受压迫的球队了<span class=""url-icon""><img alt=""[流汗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/56/2025_liuhan_mobile.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[流汗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/56/2025_liuhan_mobile.png"" style=""width:1em; height:1em;"" /></span><br /><br />让你来，但不让你好好来；让你踢，但不让你准备好踢；让你留在世界杯，但保证你活得比谁都难堪。<a  target=""_blank"" href=""https://weibo.cn/sinaurl?luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5&u=http%3A%2F%2Ft.cn%2FAXM5iS1h"" class=""""><span class=""surl-text"">#ai创造营#</span></a> <a  href=""https://video.weibo.com/show?fid=1034:5310485147615338"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">阿哲科技说的微博视频</span></a> ",30,青岛,Tue Jun 16 17:23:33 +0800 2026
#伊朗队被勒令离开美国#,5310485257258031,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&extparam=%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#伊朗队被勒令离开美国#</span></a>这让那些一天说音乐、体育等艺术无国界的人好好看看，到底有无国界。 ",1,重庆,Tue Jun 16 17:23:32 +0800 2026
#伊朗队被勒令离开美国#,5310466467038147,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&extparam=%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#伊朗队被勒令离开美国#</span></a> 体育本该纯粹，东道主美国却处处设卡刁难伊朗实在难看。15名团队人员被拒签，全队驻扎220公里外墨西哥跨境往返比赛，伊朗足协面向本国球迷的官方门票配额被收回。<br /><br />全队球员都佩戴168纪念徽章，铭记空袭遇难孩童，热身赛用各种方式寄托哀思、传递反战诉求。全队身价不高，靠老 ...<a href=""/status/5310466467038147"">全文</a>",106,济源,Tue Jun 16 16:08:52 +0800 2026
#伊朗队被勒令离开美国#,5310459773191417,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&extparam=%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#伊朗队被勒令离开美国#</span></a>说好的体育精神呢<span class=""url-icon""><img alt=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/65/201810_ybnew_mobile.png"" style=""width:1em; height:1em;"" /></span>，这是不是纯纯欺负伊朗<span class=""url-icon""><img alt=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f1/201810_xiaoku_mobile.png"" style=""width:1em; height:1em;"" /></span>？这是体育规则不？有没有懂的来说说<span class=""url-icon""><img alt=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018_doge_mobile.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018_doge_mobile.png"" style=""width:1em; height:1em;"" /></span>？ ",683,青岛,Tue Jun 16 15:42:16 +0800 2026
#伊朗队被勒令离开美国#,,,0,未知,
#伊朗队被勒令离开美国#,5310471884507252,"这有点欺负人了，人家毕竟是去参加世界杯比赛的<span class=""url-icon""><img alt=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/65/201810_ybnew_mobile.png"" style=""width:1em; height:1em;"" /></span><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&extparam=%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#伊朗队被勒令离开美国#</span></a> ",109,青岛,Tue Jun 16 16:30:24 +0800 2026
#伊朗队被勒令离开美国#,,,0,未知,
#伊朗队被勒令离开美国#,5310485927039847,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&extparam=%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#伊朗队被勒令离开美国#</span></a>所以，体育无国界呢？？？ ",0,盐城,Tue Jun 16 17:26:12 +0800 2026
#伊朗队被勒令离开美国#,5310464730333788,"<a  href=""https://m.weibo.cn/p/index?extparam=%E4%B8%96%E7%95%8C%E6%9D%AF&containerid=1008085c776a109d766a663464703ee898cb2a&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">世界杯</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&extparam=%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#伊朗队被勒令离开美国#</span></a>真的让人很无奈。伊朗刚拼完和新西兰的比赛，好不容易踢成平局，还没来得及休息调整，就被要求立刻离开美国，赶回墨西哥驻地。<br /><br />此前双方已经达成共识，允许队伍在美国留宿休整，用来缓解长途奔波带来的体能消耗，计划临时变更打乱了全部备战节奏。<br /><br />主教练赛后采 ...<a href=""/status/5310464730333788"">全文</a>",37,南通,Tue Jun 16 16:01:58 +0800 2026
#伊朗队被勒令离开美国#,5310483640879414,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&extparam=%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#伊朗队被勒令离开美国#</span></a> <br /><br />老美这事儿办的不地道，战场吃瘪在体育场里搞这个，确实low了，格局就指甲盖那么大。 ",45,北京,Tue Jun 16 17:17:07 +0800 2026
#伊朗队被勒令离开美国#,,,0,未知,
#伊朗队被勒令离开美国#,,,0,未知,
#伊朗队被勒令离开美国#,5310485697922820,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&extparam=%23%E4%BC%8A%E6%9C%97%E9%98%9F%E8%A2%AB%E5%8B%92%E4%BB%A4%E7%A6%BB%E5%BC%80%E7%BE%8E%E5%9B%BD%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#伊朗队被勒令离开美国#</span></a> 伊朗国足主教练：球队突然被勒令必须立即离开美国 <a  href=""https://video.weibo.com/show?fid=1034:5310483956432929"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">福建日报的微博视频</span></a> ",0,福州,Tue Jun 16 17:25:17 +0800 2026
#伊朗队被勒令离开美国#,5310485626619530,"【<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BC%8A%E6%9C%97%E9%98%9F%E4%B8%BB%E5%B8%85%E8%AF%B4%E6%81%A2%E5%A4%8D%E4%BD%93%E8%83%BD%E7%9A%84%E6%97%B6%E9%97%B4%E9%83%BD%E4%B8%8D%E7%BB%99%23&extparam=%23%E4%BC%8A%E6%9C%97%E9%98%9F%E4%B8%BB%E5%B8%85%E8%AF%B4%E6%81%A2%E5%A4%8D%E4%BD%93%E8%83%BD%E7%9A%84%E6%97%B6%E9%97%B4%E9%83%BD%E4%B8%8D%E7%BB%99%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#伊朗队主帅说恢复体能的时间都不给#</span></a>】<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BC%8A%E6%9C%97%E9%98%9F%E6%88%90%E4%B8%96%E7%95%8C%E6%9D%AF%E6%9C%80%E8%A2%AB%E6%8A%98%E8%85%BE%E7%90%83%E9%98%9F%23&extparam=%23%E4%BC%8A%E6%9C%97%E9%98%9F%E6%88%90%E4%B8%96%E7%95%8C%E6%9D%AF%E6%9C%80%E8%A2%AB%E6%8A%98%E8%85%BE%E7%90%83%E9%98%9F%23&luicode=1000001&lfid=231522type%3D1%26q%3D%23%E6%B1%9F%E8%A5%BF%E8%90%8D%E4%B9%A1%E6%AD%A6%E5%8A%9F%E5%B1%B1%E6%99%AF%E5%8C%BA%E6%A2%85%E8%8A%B1%E9%B9%BF%E6%94%BB%E5%87%BB%E6%B8%B8%E5%AE%A2%23&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#伊朗队成世界杯最被折腾球队#</span></a>北京时间6月16日，2026美加墨世界杯G组首轮开赛，伊朗队在两度落后的情况下两度扳平，最终以2比2的比分与新西兰队战平，收获本届赛事首个积分。但赛场外的突发状况彻底打乱了球队备战节奏。据美联社、法新社最新消息，球队主帅加莱 ...<a href=""/status/5310485626619530"">全文</a>",0,杭州,Tue Jun 16 17:25:00 +0800 2026
